region,Continent,NatTwin,StandardTwin,TwinBirths,TotalBirths,FirstYear,LastYear,AnnualChange,Color,ColorCode
Benin,Africa,27.9,27.7,1495,53595,1996,2006,-0.23,1,
Burkina Faso,Africa,16.1,15.9,750,46453,1993,2003,0.25,2,
Cameroon,Africa,21.9,22.9,515,23522,1998,2004,0.5,3,
Central African Republic,Africa,13.8,14.3,116,8418,1996,-,NA,4,
Chad,Africa,15.6,16.1,409,26246,1997,2004,-0.23,5,
Comoros,Africa,19.9,18.9,83,4164,1996,-,NA,6,
Republic of Congo,Africa,21.3,21.9,195,9134,2005,-,NA,7,
Democratic Republic of the Congo,Africa,18.2,17.9,308,16933,2007,-,NA,8,
Ivory Coast,Africa,15.9,16.3,292,18384,1994,1999,0.35,9,
Egypt,Africa,17.7,17.5,2007,113323,1995,2008,0.16,10,
Ethiopia,Africa,11,10.9,474,43092,2000,2005,-0.33,11,
Gabon,Africa,19.4,20,173,8936,2000,-,NA,12,
Ghana,Africa,20.4,19,431,21078,1998,2008,0.4,13,
Guinea,Africa,21.3,21.1,572,26846,1999,2005,1.05,14,
Kenya,Africa,15.6,16.1,747,47804,1993,2008,-0.04,15,
Lesotho,Africa,14.5,14.6,209,14414,2004,2010,-0.29,16,
Liberia,Africa,20.1,20.6,222,11026,2007,-,NA,17,
Madagascar,Africa,10.6,10.7,620,58512,1992,2009,-0.05,18,
Malawi,Africa,20.8,21.6,1102,53030,1992,2004,-0.36,19,
Mali,Africa,16.9,17.3,9,77406,1995,2006,0.12,20,
Mauritania,Africa,17.2,16.7,162,9435,2001,-,NA,21,
Morocco,Africa,12.1,11.1,297,24598,1992,2003,0.29,22,
Mozambique,Africa,18.6,19.2,645,34702,1997,2003,0.23,23,
Namibia,Africa,13.3,13,253,18977,2000,2006,0.08,24,
Niger,Africa,17.3,17.8,595,34433,1998,2006,0.06,25,
Nigeria,Africa,19,19,1581,83003,1999,2008,-0.3,26,
Rwanda,Africa,12.3,11.1,542,44135,1992,2005,0.32,27,
Sao Tome and Principe,Africa,19.3,18.9,69,3579,2009,-,NA,28,
Senegal,Africa,15.1,15,500,33166,1992,2005,0.35,29,
Sierra Leone,Africa,17.7,17.9,213,12030,2008,-,NA,30,
South Africa,Africa,12.6,12.5,133,10552,1998,-,NA,31,
Sudan,Africa,14.9,14.8,196,13187,1990,-,NA,32,
